ï»¿ANO,CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,SEXO,EDAD,CURSODEVIDA,GRUPOEDAD,POBLACION,POBLACION_NORMALIZED,CLUSTER
2005,0,BogotÃ¡,Hombres,6,Infancia,00 a 11,67184,0.8482935390598366,2
2005,0,BogotÃ¡,Hombres,7,Infancia,00 a 11,68940,0.8704655361810124,2
2005,0,BogotÃ¡,Hombres,8,Infancia,00 a 11,70568,0.8910213512796878,2
2005,0,BogotÃ¡,Hombres,9,Infancia,00 a 11,71189,0.8988623593732243,2
2005,0,BogotÃ¡,Hombres,10,Infancia,00 a 11,70398,0.8888748595310546,2
2005,0,BogotÃ¡,Hombres,11,Infancia,00 a 11,68703,0.8674730741549767,2
2005,1,UsaquÃ©n,Hombres,6,Infancia,00 a 11,3309,0.0417808305660425,1
2005,1,UsaquÃ©n,Hombres,7,Infancia,00 a 11,3493,0.04410409222338666,1
2005,1,UsaquÃ©n,Hombres,8,Infancia,00 a 11,3619,0.04569502140178538,1
2005,1,UsaquÃ©n,Hombres,9,Infancia,00 a 11,3503,0.04423035644389449,1
2005,1,UsaquÃ©n,Hombres,10,Infancia,00 a 11,3617,0.04566976855768381,1
2005,1,UsaquÃ©n,Hombres,11,Infancia,00 a 11,3392,0.042828823596257524,1
2005,2,Chapinero,Hombres,6,Infancia,00 a 11,616,0.007777875983282617,1
2005,2,Chapinero,Hombres,7,Infancia,00 a 11,732,0.009242540941173499,1
2005,2,Chapinero,Hombres,8,Infancia,00 a 11,750,0.009469816538087601,1
2005,2,Chapinero,Hombres,9,Infancia,00 a 11,725,0.009154155986818015,1
2005,2,Chapinero,Hombres,10,Infancia,00 a 11,710,0.008964759656056262,1
2005,2,Chapinero,Hombres,11,Infancia,00 a 11,705,0.008901627545802347,1
2005,3,Santa Fe,Hombres,6,Infancia,00 a 11,936,0.011818331039533328,1
2005,3,Santa Fe,Hombres,7,Infancia,00 a 11,1006,0.01270218058308817,1
2005,3,Santa Fe,Hombres,8,Infancia,00 a 11,1001,0.012639048472834253,1
2005,3,Santa Fe,Hombres,9,Infancia,00 a 11,963,0.01215924443490448,1
2005,3,Santa Fe,Hombres,10,Infancia,00 a 11,1013,0.012790565537443654,1
2005,3,Santa Fe,Hombres,11,Infancia,00 a 11,985,0.012437025720021717,1
2005,4,San CristÃ³bal,Hombres,6,Infancia,00 a 11,4450,0.05618757812598644,0
2005,4,San CristÃ³bal,Hombres,7,Infancia,00 a 11,4641,0.05859922473768608,0
2005,4,San CristÃ³bal,Hombres,8,Infancia,00 a 11,4695,0.059281051528428386,0
2005,4,San CristÃ³bal,Hombres,9,Infancia,00 a 11,4752,0.06000075758532305,0
2005,4,San CristÃ³bal,Hombres,10,Infancia,00 a 11,4939,0.062361898508819555,0
2005,4,San CristÃ³bal,Hombres,11,Infancia,00 a 11,4573,0.0577406280382328,0
2005,5,Usme,Hombres,6,Infancia,00 a 11,3698,0.04669250874379727,1
2005,5,Usme,Hombres,7,Infancia,00 a 11,3825,0.04829606434424677,0
2005,5,Usme,Hombres,8,Infancia,00 a 11,3826,0.048308690766297555,0
2005,5,Usme,Hombres,9,Infancia,00 a 11,3972,0.05015214838571194,0
2005,5,Usme,Hombres,10,Infancia,00 a 11,3990,0.05037942398262604,0
2005,5,Usme,Hombres,11,Infancia,00 a 11,3770,0.047601611131453676,1
2005,6,Tunjuelito,Hombres,6,Infancia,00 a 11,1891,0.02387656409803154,1
2005,6,Tunjuelito,Hombres,7,Infancia,00 a 11,1856,0.023434639326254118,1
2005,6,Tunjuelito,Hombres,8,Infancia,00 a 11,1971,0.02488667786209422,1
2005,6,Tunjuelito,Hombres,9,Infancia,00 a 11,2046,0.02583365951590298,1
2005,6,Tunjuelito,Hombres,10,Infancia,00 a 11,1944,0.024545764466723064,1
2005,6,Tunjuelito,Hombres,11,Infancia,00 a 11,1920,0.02424273033750426,1
2005,7,Bosa,Hombres,6,Infancia,00 a 11,6124,0.07732420863899797,0
2005,7,Bosa,Hombres,7,Infancia,00 a 11,6027,0.07609944570007197,0
2005,7,Bosa,Hombres,8,Infancia,00 a 11,6320,0.07979898736095152,0
2005,7,Bosa,Hombres,9,Infancia,00 a 11,6429,0.08117526736448692,0
2005,7,Bosa,Hombres,10,Infancia,00 a 11,6018,0.07598580790161492,0
2005,7,Bosa,Hombres,11,Infancia,00 a 11,6033,0.07617520423237667,0
2005,8,Kennedy,Hombres,6,Infancia,00 a 11,9466,0.11952171113271631,0
2005,8,Kennedy,Hombres,7,Infancia,00 a 11,9852,0.12439551004431874,0
2005,8,Kennedy,Hombres,8,Infancia,00 a 11,10292,0.12995113574666348,0
2005,8,Kennedy,Hombres,9,Infancia,00 a 11,10165,0.12834758014621397,0
2005,8,Kennedy,Hombres,10,Infancia,00 a 11,9909,0.1251152161012134,0
2005,8,Kennedy,Hombres,11,Infancia,00 a 11,9895,0.12493844619250243,0
2005,9,FontibÃ³n,Hombres,6,Infancia,00 a 11,2721,0.03435649440018182,1
2005,9,FontibÃ³n,Hombres,7,Infancia,00 a 11,2859,0.036098940643189935,1
2005,9,FontibÃ³n,Hombres,8,Infancia,00 a 11,2953,0.037285824315963584,1
2005,9,FontibÃ³n,Hombres,9,Infancia,00 a 11,3040,0.038384323034381745,1
2005,9,FontibÃ³n,Hombres,10,Infancia,00 a 11,2930,0.036995416608795566,1
2005,9,FontibÃ³n,Hombres,11,Infancia,00 a 11,2872,0.036263084129850125,1
2005,10,EngativÃ¡,Hombres,6,Infancia,00 a 11,7354,0.09285470776146164,0
2005,10,EngativÃ¡,Hombres,7,Infancia,00 a 11,7303,0.09221076023687168,0
2005,10,EngativÃ¡,Hombres,8,Infancia,00 a 11,7646,0.0965416230002904,0
2005,10,EngativÃ¡,Hombres,9,Infancia,00 a 11,7667,0.09680677786335685,0
2005,10,EngativÃ¡,Hombres,10,Infancia,00 a 11,7535,0.09514009015265344,0
2005,10,EngativÃ¡,Hombres,11,Infancia,00 a 11,7453,0.09410472354448919,0
2005,11,Suba,Hombres,6,Infancia,00 a 11,8841,0.11163019735097665,0
2005,11,Suba,Hombres,7,Infancia,00 a 11,9207,0.1162514678215634,0
2005,11,Suba,Hombres,8,Infancia,00 a 11,9184,0.11596106011439539,0
2005,11,Suba,Hombres,9,Infancia,00 a 11,9294,0.11734996653998156,0
2005,11,Suba,Hombres,10,Infancia,00 a 11,9337,0.11789290268816525,0
2005,11,Suba,Hombres,11,Infancia,00 a 11,9017,0.11385244763191454,0
2005,12,Barrios Unidos,Hombres,6,Infancia,00 a 11,1963,0.02478566648568795,1
2005,12,Barrios Unidos,Hombres,7,Infancia,00 a 11,1750,0.02209623858887107,1
2005,12,Barrios Unidos,Hombres,8,Infancia,00 a 11,1648,0.020808343539691156,1
2005,12,Barrios Unidos,Hombres,9,Infancia,00 a 11,1718,0.021692193083246,1
2005,12,Barrios Unidos,Hombres,10,Infancia,00 a 11,1819,0.022967461710375132,1
2005,12,Barrios Unidos,Hombres,11,Infancia,00 a 11,1682,0.021237641889417794,1
2005,13,Teusaquillo,Hombres,6,Infancia,00 a 11,783,0.009886488465763456,1
2005,13,Teusaquillo,Hombres,7,Infancia,00 a 11,807,0.010189522594982259,1
2005,13,Teusaquillo,Hombres,8,Infancia,00 a 11,818,0.010328413237540877,1
2005,13,Teusaquillo,Hombres,9,Infancia,00 a 11,881,0.011123877826740236,1
2005,13,Teusaquillo,Hombres,10,Infancia,00 a 11,835,0.010543062412404196,1
2005,13,Teusaquillo,Hombres,11,Infancia,00 a 11,856,0.01080821727547065,1
2005,14,Los MÃ¡rtires,Hombres,6,Infancia,00 a 11,774,0.009772850667306406,1
2005,14,Los MÃ¡rtires,Hombres,7,Infancia,00 a 11,778,0.009823356355509539,1
2005,14,Los MÃ¡rtires,Hombres,8,Infancia,00 a 11,802,0.010126390484728342,1
2005,14,Los MÃ¡rtires,Hombres,9,Infancia,00 a 11,781,0.00986123562166189,1
2005,14,Los MÃ¡rtires,Hombres,10,Infancia,00 a 11,841,0.010618820944708897,1
2005,14,Los MÃ¡rtires,Hombres,11,Infancia,00 a 11,896,0.011313274157501989,1
2005,15,Antonio NariÃ±o,Hombres,6,Infancia,00 a 11,1041,0.013144105354865591,1
2005,15,Antonio NariÃ±o,Hombres,7,Infancia,00 a 11,1083,0.013674415080998497,1
2005,15,Antonio NariÃ±o,Hombres,8,Infancia,00 a 11,1142,0.014419373981994723,1
2005,15,Antonio NariÃ±o,Hombres,9,Infancia,00 a 11,1120,0.014141592696877486,1
2005,15,Antonio NariÃ±o,Hombres,10,Infancia,00 a 11,1127,0.01422997765123297,1
2005,15,Antonio NariÃ±o,Hombres,11,Infancia,00 a 11,1114,0.014065834164572785,1
2005,16,Puente Aranda,Hombres,6,Infancia,00 a 11,2039,0.025745274561547495,1
2005,16,Puente Aranda,Hombres,7,Infancia,00 a 11,2222,0.028055909796840868,1
2005,16,Puente Aranda,Hombres,8,Infancia,00 a 11,2139,0.02700791676662584,1
2005,16,Puente Aranda,Hombres,9,Infancia,00 a 11,2266,0.02861147236707534,1
2005,16,Puente Aranda,Hombres,10,Infancia,00 a 11,2220,0.0280306569527393,1
2005,16,Puente Aranda,Hombres,11,Infancia,00 a 11,2250,0.028409449614262807,1
2005,17,La Candelaria,Hombres,6,Infancia,00 a 11,193,0.0024368994558012095,1
2005,17,La Candelaria,Hombres,7,Infancia,00 a 11,150,0.0018939633076175205,1
2005,17,La Candelaria,Hombres,8,Infancia,00 a 11,170,0.0021464917486331897,1
2005,17,La Candelaria,Hombres,9,Infancia,00 a 11,169,0.0021338653265824065,1
2005,17,La Candelaria,Hombres,10,Infancia,00 a 11,176,0.0022222502809378904,1
2005,17,La Candelaria,Hombres,11,Infancia,00 a 11,151,0.0019065897296683038,1
2005,18,Rafael Uribe Uribe,Hombres,6,Infancia,00 a 11,3808,0.04808141516938345,1
2005,18,Rafael Uribe Uribe,Hombres,7,Infancia,00 a 11,4083,0.05155368123334891,0
2005,18,Rafael Uribe Uribe,Hombres,8,Infancia,00 a 11,4228,0.05338451243071251,0
2005,18,Rafael Uribe Uribe,Hombres,9,Infancia,00 a 11,4160,0.05252591573125923,0
2005,18,Rafael Uribe Uribe,Hombres,10,Infancia,00 a 11,4082,0.05154105481129812,0
2005,18,Rafael Uribe Uribe,Hombres,11,Infancia,00 a 11,3976,0.050202654073915075,0
2005,19,Ciudad BolÃ­var,Hombres,6,Infancia,00 a 11,7082,0.08942032096364853,0
2005,19,Ciudad BolÃ­var,Hombres,7,Infancia,00 a 11,7197,0.09087235949948863,0
2005,19,Ciudad BolÃ­var,Hombres,8,Infancia,00 a 11,7278,0.09189509968560208,0
2005,19,Ciudad BolÃ­var,Hombres,9,Infancia,00 a 11,7431,0.09382694225937196,0
