Estaciones de clasificación y aprovechamiento-Ecas;;;
Localidad;Dirección;Latitud;Longitud
Usaquén;Carrera 21 Numero 164 - 82 ;46.110.702;-74.086.838
Usaquén;Carrera 18 Numero 164A-32;462.095;-74.073.941.117
Usme;Carrera 14A bis Numero 78-66 Sur;47.063.866;-74.107.807.917
Engativa; Calle 80C Numero 92-44 ;47.063.866;-74.107.807.917
Engativa;Carrera 69K Numero 79-49;46.885.498;-74.085.949.817
Kennedy (alquería);Carrera 68 a Numero 39f-50 sur ;46.297.419;-74.156.168.914
Kennedy (maria paz);Diagonal 38 sur Número 81g – 66 bodega 5;46.247.777;-74.145.763.114
Kennedy (maria paz);Diagonal 38 sur Número 81g – 66 bodega 6;46.247.773;-74.145.763.114
Kennedy;Carrera 83 Numero. 11A - 53;46.514.239;-74.145.082.517
Kennedy;Avenida Carrera  86 Numero. 5A – 92 sur;47.484.841;-74.151.432.712
Martirés;Calle 8 Numero. 26-80;46.696.342;-74.066.435.617
Fontibón;Calle 17 a Numero. 69F-26;46.455.686;-7.412.301.917
Puente aranda;Carrera 42 Numero. 10a – 37;4.629.878;-74.097.387.717
Puente aranda;Carrera 65B Numero. 17-80;46.385.435;-74.115.610.417
